mecA	0	27	1
mecA	27	39	2
mecA	39	131	3
mecA	131	142	4
mecA	142	177	3
mecA	177	179	2
mecA	179	189	3
mecA	189	192	2
mecA	192	220	3
mecA	220	281	4
mecA	281	329	3
mecA	329	342	2
mecA	342	358	1
mecA	358	370	2
mecA	370	374	1
mecA	374	445	2
mecA	445	508	3
mecA	508	524	2
mecA	524	525	1
mecA	525	527	2
mecA	527	544	3
mecA	544	545	4
mecA	545	583	5
mecA	583	595	6
mecA	595	659	5
mecA	659	677	4
mecA	677	687	3
mecA	687	694	4
mecA	694	695	3
mecA	695	733	2
mecA	733	735	1
mecA	735	837	2
mecA	837	966	1
mecA	966	1035	2
mecA	1035	1089	1
mecA	1089	1092	2
mecA	1092	1108	3
mecA	1108	1116	4
mecA	1116	1177	3
mecA	1177	1217	4
mecA	1217	1239	5
mecA	1239	1242	4
mecA	1242	1258	3
mecA	1258	1269	2
mecA	1269	1327	3
mecA	1327	1333	2
mecA	1333	1367	3
mecA	1367	1419	2
mecA	1419	1443	1
mecA	1443	1452	3
mecA	1452	1483	4
mecA	1483	1487	3
mecA	1487	1552	4
mecA	1552	1567	5
mecA	1567	1593	6
mecA	1593	1602	4
mecA	1602	1637	3
mecA	1637	1654	2
mecA	1654	1702	3
mecA	1702	1706	2
mecA	1706	1717	3
mecA	1717	1804	2
mecA	1804	1847	1
mecA	1847	1856	2
mecA	1856	1860	1
mecA	1860	1997	2
mecA	1997	2007	1
