1,0.2
2,0.4
3,0.6
4,0.8
5,0.6
6,0.4
7,0.6
8,0.4
9,0.6
10,0.8
11,0.6
12,0.4
13,0.2
14,0.4
15,0.2
16,0.4
17,0.6
18,0.4
19,0.2
20,0.4
21,0.6
22,0.8
23,1.0
24,1.2
25,1.0
26,0.8
27,0.6
28,0.8
29,0.6
30,0.4
31,0.2
32,0.4
33,0.2
34,0.4
35,0.2
36,0.4
37,0.6
38,0.8
39,0.6
40,0.8
41,1.0
42,0.8
43,0.6
44,0.4
45,0.6
46,0.4
47,0.6
48,0.4
49,0.2
50,0.6
51,0.8
52,0.6
53,0.8
54,1.0
55,1.2
56,0.8
57,0.6
58,0.4
59,0.6
60,0.4
61,0.6
62,0.4
63,0.2
64,0.4
65,0.2
66,0.4
67,0.2
