mecA	282	433	2
mecA	496	545	2
mecA	545	555	4
mecA	555	564	5
mecA	564	628	6
mecA	628	637	8
mecA	637	647	10
mecA	647	696	8
mecA	696	706	6
mecA	706	715	5
mecA	715	752	4
mecA	752	760	6
mecA	760	779	7
mecA	779	788	5
mecA	788	838	3
mecA	838	903	5
mecA	903	910	3
mecA	910	911	4
mecA	911	935	3
mecA	935	989	4
mecA	989	1061	2
mecA	1061	1062	1
mecA	1062	1068	2
mecA	1068	1077	3
mecA	1077	1086	4
mecA	1086	1113	3
mecA	1113	1124	4
mecA	1124	1159	6
mecA	1159	1213	7
mecA	1213	1219	6
mecA	1219	1228	5
mecA	1228	1236	4
mecA	1236	1264	5
mecA	1264	1275	4
mecA	1275	1305	2
mecA	1305	1310	3
mecA	1310	1317	2
mecA	1317	1325	4
mecA	1325	1349	6
mecA	1349	1358	8
mecA	1358	1387	10
mecA	1387	1416	9
mecA	1416	1423	11
mecA	1423	1442	12
mecA	1442	1456	13
mecA	1456	1468	12
mecA	1468	1476	10
mecA	1476	1483	8
mecA	1483	1500	9
mecA	1500	1509	7
mecA	1509	1562	5
mecA	1562	1567	6
mecA	1567	1569	4
mecA	1569	1574	7
mecA	1574	1593	6
mecA	1593	1601	5
mecA	1601	1634	7
mecA	1634	1713	6
mecA	1713	1720	5
mecA	1720	1752	2
mecA	1805	1823	3
mecA	1823	1956	5
mecA	1956	1974	2
